iteration,eval_mean_reward,eval_std_reward,eval_mean_pegs_left,greedy_reward,greedy_pegs_left,timestamp
156,0.791612903225806,0.06742166997105409,7.46,0.8387096774193543,6.0,2026-04-14T21:03:56.883625
157,0.7961290322580639,0.04582007975371532,7.32,0.8387096774193543,6.0,2026-04-14T21:03:58.159882
158,0.7961290322580639,0.05963468391376171,7.32,0.8387096774193543,6.0,2026-04-14T21:03:59.412582
159,0.8038709677419349,0.051548346723711384,7.08,0.8387096774193543,6.0,2026-04-14T21:04:00.683272
160,0.8070967741935478,0.04891752280585122,6.98,0.8387096774193543,6.0,2026-04-14T21:04:02.052010
161,0.7799999999999995,0.05268641647283685,7.82,0.8387096774193543,6.0,2026-04-14T21:04:03.309108
162,0.791612903225806,0.05778066821305129,7.46,0.8387096774193543,6.0,2026-04-14T21:04:04.625201
163,0.7858064516129026,0.09800507536391344,7.64,0.8387096774193543,6.0,2026-04-14T21:04:05.906954
164,0.7793548387096769,0.05747369664856792,7.84,0.8387096774193543,6.0,2026-04-14T21:04:07.128452
165,0.7954838709677415,0.05899258317727028,7.34,0.8387096774193543,6.0,2026-04-14T21:04:08.388888
166,0.7832258064516124,0.052429031364929095,7.72,0.8387096774193543,6.0,2026-04-14T21:04:09.659808
167,0.78516129032258,0.10314714744991804,7.66,0.8387096774193543,6.0,2026-04-14T21:04:10.900942
168,0.7999999999999994,0.06451612903225801,7.2,0.8387096774193543,6.0,2026-04-14T21:04:12.305594
169,0.7993548387096768,0.057084926782512584,7.22,0.8387096774193543,6.0,2026-04-14T21:04:13.618224
170,0.7922580645161283,0.06615970964280907,7.44,0.8387096774193543,6.0,2026-04-14T21:04:14.840799
171,0.7935483870967737,0.06515809637652947,7.4,0.8387096774193543,6.0,2026-04-14T21:04:16.051082
172,0.8064516129032252,0.05770498006451066,7.0,0.8387096774193543,6.0,2026-04-14T21:04:17.296491
173,0.8012903225806446,0.05960675851587658,7.16,0.8387096774193543,6.0,2026-04-14T21:04:18.517353
174,0.8012903225806447,0.051354190302277114,7.16,0.8387096774193543,6.0,2026-04-14T21:04:19.743442
175,0.8083870967741931,0.05137444916546693,6.94,0.8387096774193543,6.0,2026-04-14T21:04:20.970521
176,0.799354838709677,0.05923199068141506,7.22,0.8387096774193543,6.0,2026-04-14T21:04:22.184994
177,0.7961290322580638,0.05640643353392097,7.32,0.8387096774193543,6.0,2026-04-14T21:04:23.376352
178,0.7877419354838705,0.04788557293938965,7.58,0.8387096774193543,6.0,2026-04-14T21:04:24.609131
179,0.7748387096774187,0.06903225806451606,7.98,0.8387096774193543,6.0,2026-04-14T21:04:25.983858
180,0.7922580645161283,0.05326391597561361,7.44,0.8387096774193543,6.0,2026-04-14T21:04:27.275198
181,0.7980645161290317,0.04507364767666723,7.26,0.8387096774193543,6.0,2026-04-14T21:04:28.574527
182,0.7877419354838705,0.05401275526697052,7.58,0.8387096774193543,6.0,2026-04-14T21:04:29.813284
183,0.7896774193548382,0.05407052087679212,7.52,0.8064516129032253,7.0,2026-04-14T21:04:31.066756
184,0.7980645161290316,0.055801789848177276,7.26,0.8064516129032253,7.0,2026-04-14T21:04:32.324656
185,0.8064516129032252,0.04696845089858395,7.0,0.8709677419354833,5.0,2026-04-14T21:04:33.604340
186,0.8083870967741931,0.04299408279108676,6.94,0.8709677419354833,5.0,2026-04-14T21:04:34.879682
187,0.7974193548387091,0.05162902973869042,7.28,0.8387096774193543,6.0,2026-04-14T21:04:36.095798
188,0.7967741935483866,0.05851082950715174,7.3,0.8387096774193543,6.0,2026-04-14T21:04:37.401732
189,0.7864516129032252,0.0982447410109891,7.62,0.8387096774193543,6.0,2026-04-14T21:04:38.695073
190,0.7954838709677413,0.05646912170873269,7.34,0.8064516129032253,7.0,2026-04-14T21:04:39.952976
191,0.7877419354838705,0.061911957897462615,7.58,0.8064516129032253,7.0,2026-04-14T21:04:41.181360
192,0.7858064516129026,0.06634818132739317,7.64,0.8387096774193543,6.0,2026-04-14T21:04:42.369219
193,0.7935483870967736,0.06419273787784639,7.4,0.8387096774193543,6.0,2026-04-14T21:04:43.569068
194,0.7890322580645156,0.05482352731010801,7.54,0.8387096774193543,6.0,2026-04-14T21:04:44.798702
195,0.792903225806451,0.047448970343733875,7.42,0.8387096774193543,6.0,2026-04-14T21:04:46.022434
196,0.8045161290322576,0.05856771208663925,7.06,0.8387096774193543,6.0,2026-04-14T21:04:47.248962
197,0.8038709677419351,0.06149033578035533,7.08,0.8387096774193543,6.0,2026-04-14T21:04:48.494213
198,0.7761290322580637,0.060318267915523055,7.94,0.8387096774193543,6.0,2026-04-14T21:04:49.722347
199,0.7987096774193542,0.05681816479046188,7.24,0.8387096774193543,6.0,2026-04-14T21:04:50.928300
